date tombe;date reglement;capital amorti;taux coupon;coupon brut
14/08/2025;14/08/2025;0,00;0,0275;0,00
14/09/2025;14/09/2025;0,00;0,0275;0,00
14/10/2025;14/10/2025;0,00;0,0275;702,77
14/11/2025;14/11/2025;0,00;0,0275;0,00
14/12/2025;14/12/2025;0,00;0,0275;0,00
14/01/2026;14/01/2026;0,00;0,0275;715,55
14/02/2026;14/02/2026;0,00;0,0275;0,00
14/03/2026;14/03/2026;0,00;0,0275;0,00
14/04/2026;14/04/2026;0,00;0,0275;715,55
14/05/2026;14/05/2026;0,00;0,0275;0,00
14/06/2026;14/06/2026;0,00;0,0275;0,00
14/07/2026;14/07/2026;0,00;0,0275;715,55
14/08/2026;14/08/2026;0,00;0,0275;0,00
14/09/2026;14/09/2026;0,00;0,0275;0,00
14/10/2026;14/10/2026;0,00;0,0275;715,55
14/11/2026;14/11/2026;0,00;0,0275;0,00
14/12/2026;14/12/2026;0,00;0,0275;0,00
14/01/2027;14/01/2027;0,00;0,0275;715,55
14/02/2027;14/02/2027;0,00;0,0275;0,00
14/03/2027;14/03/2027;0,00;0,0275;0,00
14/04/2027;14/04/2027;0,00;0,0275;715,55
14/05/2027;14/05/2027;0,00;0,0275;0,00
14/06/2027;14/06/2027;0,00;0,0275;0,00
14/07/2027;14/07/2027;0,00;0,0275;715,55
14/08/2027;14/08/2027;0,00;0,0275;0,00
14/09/2027;14/09/2027;0,00;0,0275;0,00
14/10/2027;14/10/2027;0,00;0,0275;715,55
14/11/2027;14/11/2027;0,00;0,0275;0,00
14/12/2027;14/12/2027;0,00;0,0275;0,00
14/01/2028;14/01/2028;0,00;0,0275;715,55
14/02/2028;14/02/2028;0,00;0,0275;0,00
14/03/2028;14/03/2028;20 000,00;0,0275;715,55
14/04/2028;14/04/2028;20 000,00;0,0275;715,55
14/05/2028;14/05/2028;20 000,00;0,0275;715,55
14/06/2028;14/06/2028;20 000,00;0,0275;715,55
14/07/2028;14/07/2028;20 000,00;0,0275;715,55
